,city,cloudiness,country,humidity,latitude,longitude,max_temp,windspeed
373,Salalah,40,OM,70,17.01,54.1,84.2,9.17
374,Turukhansk,76,RU,100,65.8,87.96,22.27,9.75
375,Akdepe,0,TM,35,42.05,59.39,55.4,13.87
376,Denpasar,12,ID,100,-8.65,115.22,79.15,1.59
377,High Level,90,CA,68,58.52,-117.13,24.8,14.99
378,Bela,0,PK,18,26.23,66.31,87.52,9.75
379,Ostrovnoy,80,RU,100,68.05,39.51,28.3,6.4
380,Maceio,75,BR,94,-9.67,-35.74,73.4,2.24
381,Nortelandia,36,BR,93,-14.45,-56.8,68.8,3.38
382,Dukat,68,RS,45,42.44,22.31,59.35,1.92
383,Iranshahr,0,IR,22,27.21,60.69,80.6,3.15
384,Trinidad,0,UY,94,-33.52,-56.9,61.6,10.98
385,Mumford,24,GH,95,5.26,-0.76,77.53,6.85
386,Bonnyville,90,CA,100,54.27,-110.74,33.8,6.93
387,Huarmey,8,PE,88,-10.07,-78.15,59.26,3.04
388,Bac,40,RS,77,45.39,19.24,60.8,6.93
389,Sinnamary,92,GF,97,5.38,-52.96,79.15,14.45
390,Margate,40,AU,30,-43.03,147.26,55.4,25.28
391,Auki,24,NG,81,12.18,6.51,68.62,2.93
392,Shu,76,KZ,67,43.6,73.76,58.09,8.97
393,Alyangula,76,AU,81,-13.85,136.42,90.22,17.92
394,Yumaguzino,20,RU,91,52.9,56.39,40.9,4.38
395,Vitim,32,RU,53,59.44,112.57,37.75,5.17
396,Tucupita,80,VE,83,9.06,-62.05,78.25,6.73
397,Isangel,76,VU,100,-19.55,169.27,78.07,17.92
398,Sao Joao da Barra,92,BR,100,-21.64,-41.05,72.31,8.75
399,Mier,0,IT,87,46.13,12.19,60.8,3.36
400,Klyuchi,24,RU,58,52.25,79.17,51.88,14.79
401,Mandalgovi,20,MN,43,45.76,106.27,63.04,10.65
402,Zaozerne,76,UA,79,51.37,23.94,62.05,4.16
403,Antofagasta,40,CL,87,-23.65,-70.4,59.0,9.17
404,Barentu,0,ER,17,15.11,37.59,83.2,4.16
405,Narsaq,5,GL,35,60.91,-46.05,26.6,10.29
406,Payo,12,ID,98,-3.75,103.64,84.73,2.82
407,Evensk,36,RU,94,61.92,159.24,29.2,5.5
408,Gizo,40,IL,77,31.8,34.94,66.2,2.24
409,Villa Bruzual,64,VE,94,9.33,-69.12,69.25,1.81
410,Souillac,92,FR,100,45.6,-0.6,48.2,1.12
411,Inuvik,5,CA,47,68.36,-133.71,12.2,6.93
412,Vangaindrano,100,MG,100,-23.35,47.6,68.35,3.38
413,Grindavik,75,IS,87,63.84,-22.43,46.4,11.41
414,Pozo Colorado,56,PY,85,-23.49,-58.8,72.85,5.06
415,Shimorskoye,0,RU,71,55.33,42.04,51.7,4.16
416,Borogontsy,36,RU,48,62.67,131.17,46.84,3.71
417,Rio Grande,12,BR,91,-32.03,-52.1,69.34,13.78
418,Shar,44,NG,90,7.3,8.73,76.27,11.65
419,Victoria,75,BN,79,5.28,115.24,89.6,2.24
420,Boueni,40,YT,74,-12.9,45.08,86.0,11.41
421,Dakar,0,SN,93,14.69,-17.45,64.4,9.17
422,Coahuayana,0,MX,70,18.62,-100.35,62.5,0.81
423,Xinzhou,0,CN,64,38.41,112.73,62.05,2.15
424,Ampanihy,0,MG,67,-24.69,44.75,75.28,4.61
425,Lai,24,CN,40,27.82,91.75,55.03,1.59
426,Itarema,76,BR,97,-2.92,-39.92,74.65,2.82
427,Marienburg,0,DE,100,52.12,9.98,51.8,3.36
428,Aswan,0,EG,17,24.09,32.9,73.4,5.82
429,Straubing,20,DE,100,48.88,12.57,51.8,9.75
430,Koboko,92,UG,78,3.41,30.96,72.4,5.28
431,Oktyabrskoye,92,RU,100,56.73,85.44,37.39,8.52
